Model,Activation,Optimizer,Seq_Length,Grad_Clipping,Epoch,Accuracy,F1,Epoch_Time_s,Loss
LSTM,relu,Adam,25,No,1,0.7007000000000000,0.6971000000000001,38.3200000000000003,0.5656000000000000
LSTM,relu,Adam,25,No,2,0.7108000000000000,0.7108000000000000,34.7400000000000020,0.5629000000000000
LSTM,relu,Adam,25,No,3,0.7010000000000000,0.7009000000000000,35.2199999999999989,0.6254000000000000
LSTM,relu,Adam,50,No,1,0.6631000000000000,0.6533000000000000,67.3700000000000045,1.4514000000000000
LSTM,relu,Adam,50,No,2,0.6768999999999999,0.6748000000000000,64.0199999999999960,0.6389000000000000
LSTM,relu,Adam,50,No,3,0.6945000000000000,0.6919999999999999,65.4399999999999977,0.5814000000000000
LSTM,relu,Adam,100,No,1,0.7574000000000000,0.7568000000000000,132.2599999999999909,0.6206000000000000
LSTM,relu,Adam,100,No,2,0.6268000000000000,0.6257000000000000,124.8299999999999983,0.6868000000000000
LSTM,relu,Adam,100,No,3,0.6254000000000000,0.6253000000000000,125.7399999999999949,0.6862000000000000
RNN,relu,Adam,50,No,1,0.7372000000000000,0.7370000000000000,31.3599999999999994,0.5401000000000000
RNN,relu,Adam,50,No,2,0.7564000000000000,0.7554000000000000,30.3599999999999994,0.4971000000000000
RNN,relu,Adam,50,No,3,0.7482000000000000,0.7482000000000000,28.9800000000000004,0.5123000000000000
Bidirectional LSTM,relu,Adam,50,No,1,0.6486000000000000,0.6116000000000000,94.3299999999999983,0.6712000000000000
Bidirectional LSTM,relu,Adam,50,No,2,0.5609000000000000,0.4754000000000000,83.5400000000000063,0.6698000000000000
Bidirectional LSTM,relu,Adam,50,No,3,0.6729000000000001,0.6693000000000000,84.3199999999999932,0.6405000000000000
LSTM,relu,SGD,50,No,1,0.5050000000000000,0.3854000000000000,60.2599999999999980,0.6931000000000000
LSTM,relu,SGD,50,No,2,0.5133000000000000,0.4475000000000000,55.7999999999999972,0.6931000000000000
LSTM,relu,SGD,50,No,3,0.5000000000000000,0.3333000000000000,55.7800000000000011,0.6931000000000000
LSTM,relu,RMSProp,50,No,1,0.7435000000000000,0.7420000000000000,60.3500000000000014,0.5056000000000000
LSTM,relu,RMSProp,50,No,2,0.7445000000000001,0.7397000000000000,55.5000000000000000,0.6304000000000000
LSTM,relu,RMSProp,50,No,3,0.7493000000000000,0.7465000000000001,56.0300000000000011,0.9596000000000000
LSTM,sigmoid,Adam,50,No,1,0.7475000000000001,0.7474000000000000,69.5300000000000011,0.5239000000000000
LSTM,sigmoid,Adam,50,No,2,0.7624000000000000,0.7617000000000000,63.4799999999999969,0.4996000000000000
LSTM,sigmoid,Adam,50,No,3,0.7612000000000000,0.7611000000000000,64.0199999999999960,0.5471000000000000
LSTM,tanh,Adam,50,No,1,0.7621000000000000,0.7621000000000000,69.9599999999999937,0.4910000000000000
LSTM,tanh,Adam,50,No,2,0.7583000000000000,0.7578000000000000,61.7700000000000031,0.5053000000000000
LSTM,tanh,Adam,50,No,3,0.7510000000000000,0.7507000000000000,62.3599999999999994,0.5763000000000000
RNN,tanh,SGD,50,No,1,0.5016000000000000,0.4949000000000000,30.5100000000000016,0.6941000000000001
RNN,tanh,SGD,50,No,2,0.5194000000000000,0.4989000000000000,24.1400000000000006,0.6924000000000000
RNN,tanh,SGD,50,No,3,0.5655000000000000,0.5634000000000000,23.9200000000000017,0.6812000000000000
RNN,tanh,SGD,50,Yes,1,0.5006000000000000,0.3406000000000000,27.2399999999999984,0.7028000000000000
RNN,tanh,SGD,50,Yes,2,0.5024999999999999,0.3512000000000000,25.5500000000000007,0.7040000000000000
RNN,tanh,SGD,50,Yes,3,0.5413000000000000,0.5266999999999999,25.1499999999999986,0.6885000000000000
Bidirectional LSTM,tanh,RMSProp,100,No,1,0.8055000000000000,0.8038000000000000,201.4300000000000068,0.4223000000000000
Bidirectional LSTM,tanh,RMSProp,100,No,2,0.8005000000000000,0.7980000000000000,172.8400000000000034,0.4272000000000000
Bidirectional LSTM,tanh,RMSProp,100,No,3,0.8149000000000000,0.8145000000000000,176.6899999999999977,0.4607000000000000
LSTM,relu,Adam,50,Yes,1,0.7272999999999999,0.7219000000000000,78.8199999999999932,0.5896000000000000
LSTM,relu,Adam,50,Yes,2,0.5986000000000000,0.5360000000000000,77.1299999999999955,0.6326000000000001
LSTM,relu,Adam,50,Yes,3,0.7412000000000000,0.7412000000000000,77.4000000000000057,0.5334000000000000
RNN,sigmoid,Adam,25,No,1,0.5308000000000000,0.5275000000000000,26.4600000000000009,0.6894000000000000
RNN,sigmoid,Adam,25,No,2,0.5662000000000000,0.5639000000000000,24.0100000000000016,0.6761000000000000
RNN,sigmoid,Adam,25,No,3,0.6835000000000000,0.6833000000000000,23.4899999999999984,0.6163999999999999
